 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2011,,158,14.8,51.3%,1.9%,100,21.1,3.0%,8.0%
2012,,360,16.2,36.1%,1.1%,198,22.5,2.0%,12.6%
2013,,695,15.9,38.0%,1.6%,514,23.0,1.4%,13.2%
2014,,789,16.8,29.9%,2.8%,387,23.7,1.3%,15.5%
2015,,749,18.0,29.8%,5.1%,496,24.7,4.8%,25.2%
2016,,630,19.1,15.6%,6.3%,614,25.4,2.8%,24.8%
2017,,718,18.3,13.6%,1.4%,547,24.6,0.2%,16.5%
2018,,656,18.1,16.3%,3.2%,465,24.6,0.0%,17.8%
2019,,695,18.4,11.7%,1.7%,475,25.3,0.2%,16.0%
2020,,323,19.1,8.0%,2.8%,173,24.9,0.6%,18.5%
2021,,627,20.1,4.8%,4.8%,413,26.3,0.0%,26.2%
2022,,611,20.0,5.9%,7.0%,376,25.1,0.3%,20.7%
