 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2012,,182,15.8,40.7%,1.1%,143,21.1,4.2%,7.7%
2013,,727,16.0,40.0%,1.8%,387,23.2,0.5%,19.4%
2014,,348,16.2,37.9%,3.2%,210,22.4,1.9%,11.9%
2015,,1024,16.3,37.1%,3.5%,387,23.6,11.1%,22.2%
2016,,694,17.3,34.0%,4.6%,430,23.4,5.3%,19.3%
2017,,768,16.8,35.0%,1.4%,391,22.3,1.3%,12.0%
2018,,647,16.9,32.5%,2.6%,487,22.7,0.8%,12.1%
2019,,709,17.5,27.1%,2.4%,410,23.1,0.5%,12.0%
2020,,284,17.4,26.4%,2.8%,155,25.0,0.6%,20.6%
2021,,612,17.7,24.3%,3.9%,381,24.1,0.0%,18.6%
2022,,578,17.5,23.5%,3.3%,437,22.5,0.5%,11.4%
